id,name,sku,quantity,price_cents,expiry_date
952,PREDNISOLONE 5 TABLETS,925,50,206,2022-10-10
953,CEFFEST 400 MG CAPSULES,991,7,6500,2019-09-30
954,AEGIDEX OINTMENT,911,8,4500,2019-09-01
955,BF-MAMA VANILLA,979,1,43300,2018-10-20
956,GLYCERIN PURE 50 GM,924,9,4000,2019-10-30
957,SENSODYNE ORIGINAL 50 G,921,0,12500,2020-06-06
958,SENSODYNE RAPID 70 G,900,1,17000,2019-07-07
959,SENSODYNE FLUORIDE 70 G,922,3,15500,2019-04-04
960,SENSODYNE MULTI CARE 70 G,919,1,16500,2019-04-04
961,CREMAFFIN SYRUP,932,2,3497,2020-12-30
962,CHYMOTRIP FORTE TABLETS,955,62,568,2018-08-08
963,ANGISED 0.5 TABLETS,947,174,85,2019-02-02
964,LACTOGROW 3 MILK 200,946,5,25000,2018-11-30
965,BANDAGES 7.5 CM X 3M,996,12,1500,2019-07-07
966,MEPORE 9X10 CM,930,2,8000,2019-12-30
967,JOHNSONS BABY LOTION 50 ML,945,1,9000,2021-08-08
968,BLESS0 BLEACH CREAM 16 GR,956,8,3000,2019-10-10
969,ZOPENT 20 MG TABLETS,953,14,1092,2019-08-08
970,DABUR AMLA HAIR OIL 50 ML,941,1,7000,2020-05-05
971,VOLTRAL SR 100 TABLETS,929,13,1134,2022-06-06
972,FELDENE 20 MG CAPSULES,940,18,1125,2019-08-30
973,OPTRA INHALER,937,1,35000,2019-07-30
974,SALNON INHALER,951,1,22900,2019-02-02
975,MEDICAM BLEACH CREAM,952,1,23000,2021-12-12
976,HI-SALZ 100 G TOOTHPASTE,934,3,10500,2020-11-30
977,COLDENE TABLETS,1103,13,250,2020-08-30
978,METHERGIN TABLETS,943,100,200,2019-04-30
979,XYZAL TABLETS,423,46,550,2019-10-30
980,PULMITAC SYRUP,365,1,8050,2020-11-30
981,ARNIL 50 TABLETS,1018,55,350,2022-10-30
982,PENBRITIN 500 CAPSULES,954,32,482,2018-04-04
983,PENBRITIN 250 CAPSULES,950,52,296,2019-01-01
984,SENSODYNE TOTAL CARE,935,2,18000,2019-09-09
985,SENSODYNE EXTRA FRESH,949,2,18000,2019-09-08
986,FAIR LOVELY 50 G TUBE,931,2,11500,2018-09-01
987,BREXIN TABLETS,961,22,1525,2020-05-05
988,CLARION 500 MG TABLETS,959,25,3900,2018-10-10
989,DUPHASTON 10 TABLETS,958,20,2700,2020-08-30
990,MONTIKA 10 MG TABLETS,976,29,2142,2019-09-30
991,MAXPAN 400 CAPSULE,984,13,6500,2019-11-30
992,TESTOVIRON DEPOT,962,9,9037,2022-09-30
993,NORVASC 10 MG TABLET,1105,28,2333,2020-09-30
994,LOTRICORT-G CREAM,1594,2,8200,2020-10-10
995,CITRO SODA LEMON FLAVOUR,1073,36,1150,2019-01-30
996,COMBINOL-H JUNIOR SYRUP,1146,2,10000,2018-10-08
997,KEFLEX  DROPS,972,3,7506,2020-09-30
998,KEFLEX 125 MG SYRUP,965,3,5984,2020-10-30
999,AMARYL 4 MG TABLETS,975,0,3106,2019-02-02
1000,CIPOTIC EAR DROPS,980,4,8000,2019-09-09
1001,DUOFILM,969,2,27940,2020-02-28
1002,PLAZO SYRUP,957,1,16830,2019-05-05
1003,COLDREX-E SYRUP,982,13,6352,2019-10-30
1004,M-SPAN 100 MG SYRUP,974,3,18000,2019-04-30
1005,M-SPAN 400 MG CAPSUL,985,2,6500,2019-04-04
1006,GLYRATE-SR 2.6 MG TABLETS,977,60,523,2019-03-03
1007,MORTEIN MACHINE,968,1,30000,2022-02-04
1008,SAFGO-MET 2 500 MG TABLETS,978,90,800,2019-09-01
1009,ROVISTA 5 MG TABLETS,966,10,1215,2020-02-02
1010,JENTIN MET 50 MG 500 MG TABLETS,964,21,2157,2019-11-30
1011,XYLOR 10 MG TABLETS,973,50,800,2020-06-30
1012,DETTOL 100 ML,993,3,8000,2022-03-03
1013,FUCIDIN H CREAM,1013,3,32400,2019-11-11
1014,EPIVAL 500 MG CR TABLETS,999,14,1448,2018-03-03
1015,LEXOTANIL 3 MG TABLETS,1005,113,683,2022-11-30
1016,LEXILIUM 3 MG TABLETS,990,8,356,2019-07-07
1017,ARQ-E-MEHZAL 800 ML,47,1,35000,2018-05-25
1018,VASELINE 100 ML HEALTHY WHITE,987,0,14900,2019-10-10
1019,FAIR LOVELY FACE WASH 50 G ADVANCED MULTI VITAMIN,1012,0,9900,2022-07-07
1020,FAIR LOVELY FACE WASH 50 G PIMPLE OFF FAIRNESS ON,995,3,11500,2022-07-07
1021,SIMVAZAF 20 MG TABLETS,1095,30,1622,2019-09-09
1022,K-CID SYRUP,1007,0,13100,2019-04-04
1023,ZINCDAY SYRUP,994,4,6086,2019-05-30
1024,HAJMOLA IMLI TABLETS,997,1,7500,2019-08-08
1025,CITANEW 10 MG TABLETS,1010,10,1964,2019-04-04
1026,MELOR 15 MG TABLETS,998,16,1060,2019-09-09
1027,MENSOFAR TABLETS QARSHI,1002,3,11000,2020-07-07
1028,KINGTOX SPRAY 325 ML,7,2,23000,2020-02-02
1029,SAVIXIM DS 200 SYRUP,2,6,24500,2019-08-30
1030,SODIUM CHLORIDE INFUSION 0.9,18,2,1786,2019-11-07
1031,DESTINA 5 MG TABLET,346,4,1700,2018-11-11
1032,AUGMENTIN DS 90 ML SYRUP,51,1,16533,2019-10-11
1033,ICON 100 MG CAPSULES,84,4,5384,2019-06-06
1034,PREAZIT-L 40 INJECTION,206,5,30000,2019-04-04
1035,HAJMOLA IMLI SHASHY,239,176,200,2019-07-30
1036,LIPIGET 20 MG TABLETS,283,30,3100,2020-07-30
1037,QUIBRON-T SR TABLETS,286,61,460,2019-08-08
1038,VERICEF 500 INJECTION,287,1,4100,2018-05-05
1039,VERICEF 1000 INJECTION,297,2,7400,2018-05-05
1040,CALPOL TABLETS,298,600,92,2023-01-31
1041,FAMOT 20 MG TABLET,336,20,870,2019-05-05
1042,DERMAZIN 50 G CAREM,334,2,16000,2019-02-02
1043,VEET 100 G CREAM,730,4,30000,2018-10-10
1044,GABICA 75 MG CAPSULES,770,37,2142,2019-05-30
1045,GABICA 100 MG CAPSULES,793,13,2400,2018-10-10
1046,VATIKA DABUR DANDRUFF GUARD STYLNG HAIR CREAM 70 ML,800,2,10000,2018-11-11
1047,GENTICYN INJECTION,1140,6,2974,2020-02-02
1048,SUPARIPAK HAMDARD,807,1,11000,2019-10-10
1049,CALAMINE LOTION,835,2,5000,2019-03-03
1050,TIOVAIR-F 18 MCG+12 MCG CAPSULES,826,60,1886,2018-10-10
1051,SIMVA 20 MG TABLETS,855,10,1230,2019-01-01
1052,NORMITAB 50 MG TABLETS,865,28,372,2020-03-03
1053,DYTRA FORTE TABLETS,894,17,357,2019-03-05
1054,EVOFIX 200 MG DS SYRUP,1627,2,18257,2018-12-12
1055,EVOFIX 100 MG SYRUP,1074,3,13000,2019-10-30
1056,COUGH CARE SYRUP,983,6,2800,2018-11-11
1057,RIACEN CREAM,1004,2,8763,2019-04-04
1058,ALMOND OIL 30 ML QARSHI,1006,3,19000,2019-02-02
1059,COLGATE PLAX FRESHMINT SPLASH MOUTHWASH,91,2,23000,2018-09-09
1060,OSNATE 800 MG TABLET,189,24,733,2021-09-09
1061,HYDROZOLE 20 G CREAM,195,3,15417,2020-11-30
1062,CLERET GEL,541,4,17500,2019-09-01
1063,ENO LEMON SACHETS,1588,86,500,2020-10-10
1064,ENO FRUIT SALT REGULAR SACHETS,1003,50,500,2020-07-07
1065,TEARS PLUS EYE DROPS,1035,5,4945,2019-11-11
1066,M-ZOLIDONE POND,1038,1,5000,2019-08-08
1067,MULTICAL-1000 SACHETS,1021,57,1043,2018-12-01
1068,MICOSSTATIN DROPS,1023,3,4800,2018-06-06
1069,RASHNIL 50 GR CREAM,1034,2,7817,2019-08-08
1070,CYNFO 500 MG CAPSULES,1024,10,1212,2019-03-03
1071,ON CALL PLUS STRIPS,1017,42,2500,2019-06-30
1072,ISPAGHOL MARHABA 95 G,1028,2,22000,2022-08-08
1073,MOSPEL CREAM,1041,2,12500,2018-04-04
1074,HAEMACCEL 500 ML DRIP,1030,1,50800,2019-01-01
1075,KANACYN 1 G INJECTION,1025,1,14950,2019-04-04
1076,SUNSAY D CAPSULS,1027,5,11000,2018-03-03
1077,MAXOLON TABLETS,1022,80,100,2020-09-09
1078,DIMETIL INJECTION,1040,25,500,2019-07-07
1079,PIMPAL GEL,1026,1,15000,2019-09-09
1080,MARK 40 MG CAPSULES ,1037,50,1700,2019-10-30
1081,FABIMILK 1 MILK,1032,1,70000,2019-05-15
1082,CEPOREX 500 MG CAPSULES,1043,18,1690,2019-10-30
1083,CEROPHENE 50 MG TABLETS,1044,5,4590,2019-03-03
1084,ROVISTA 10 MG TABLETS,8,32,2055,2020-09-30
1085,JOHNSONS BABY OIL 75+25 ML,29,2,20000,2019-08-08
1086,JOHNSONS BABY POWDER 100 G,32,1,10000,2022-02-05
1087,JOHNSONS BABY POWDER 200 G,81,0,16000,2022-02-04
1088,CONCOR 2.5 MG TABLETS,73,46,428,2020-09-30
1089,SKIN WHITE DRY SKIN SOAP,88,0,5000,2019-10-03
1090,ABBOTT BLOOD GLUCOSE STRIP,130,10,3000,2019-01-31
1091,SKIN WHITE SENSITIVE SKIN SOAP,147,0,5000,2019-08-08
1092,DIJEX MP SYRUP,167,15,3497,2019-12-30
1093,PAD WRITING LARGE,568,72,1000,2022-02-04
1094,GLAXOSE-D 100 G,908,1,5000,2019-01-17
1095,GLAXOSE-D 400 G,917,1,14000,2019-01-27
1096,FEBROL TABLETS,944,147,100,2022-01-01
1097,TERBIDERM CREAM,938,2,16800,2019-07-30
1098,SKIN WHITE 91 G CREAM,939,1,13000,2019-08-05
1099,SKIN WHITE 28 G CREAM,1011,3,5500,2019-03-03
1100,QFOLIC 400 MG TABLETS,1009,6,933,2019-03-03
1101,PREGNOVIT TABLETS,1039,0,49900,2018-03-03
1102,BISACODYL TABLETS,1042,30,50,2019-10-10
1103,Q-PLEX SYRUP,1056,4,11500,2020-06-30
1104,KELLY PEARL CREAM,1050,1,5000,2021-07-07
1105,COLIC DROPS MUGHAL,1051,2,3500,2019-06-06
1106,LYSOVIT SYRUP,1058,4,6500,2018-11-11
1107,S.T. MOM TABLETS,1046,30,1020,2018-08-08
1108,MEDIDEX EYE DROPS,1064,3,2116,2018-07-07
1109,NEOCOBAL TABLETS,1066,71,573,2020-08-30
1110,GINKGO VIT DROPS,1065,7,20000,2020-01-01
1111,GINXENG ORAL DROPS,1060,10,20000,2019-06-06
1112,FLOXOL 200 MG TABLETS,1063,84,1100,2019-09-09
1113,ATIGEN TABLETS,1094,20,2475,2018-10-10
1114,CODEFREE STRIPS,1083,25,2500,2018-09-20
1115,APOFAR SYRUP,1071,1,9180,2020-07-07
1116,TOOT SIAH MULETHI MEDICS SYRUP ,1089,3,9500,2019-09-09
1117,NEMSIS TABLETS,1078,42,450,2019-05-05
1118,RAINBOW,1091,26,2000,2019-10-10
1119,STRAWBERRY  TUB,1092,1,30500,2018-12-12
1120,CORNETTO CLASSICO CP,75,3,5500,2018-07-07
1121,CORNETTO DOUBOLE CHOCLATE,1124,12,5500,2018-07-07
1122,CIPESTA 250 MG SYRUP,1165,2,16200,2019-01-01
1123,P.POP JIGGLY JELLY BUBB,1085,23,2000,2019-04-04
1124,CUP MANGO 100 ML,1494,16,4500,2018-09-09
1125,BADAMI STICK 65 ML,1080,23,3500,2019-02-02
1126,MAGNUM CLASSIC 90 ML,1077,0,9900,2019-08-08
1127,MAGNUM ALMND 90 ML,1088,6,11000,2018-07-07
1128,MAGNUM HAZELNUT 90 ML,1084,0,11000,2018-08-08
1129,KINGS KULFA 450 ML,1090,3,12500,2018-08-08
1130,MANGO 450 ML,1087,2,12500,2018-08-08
1131,KINGS KULFA 800 ML,1097,1,22000,2018-12-12
1132,MANGO CP 800 ML,1086,3,19000,2018-09-09
1133,TUTTI FRUITI CP 800 ML,1096,1,22000,2018-09-09
1134,STRAWBERRY CP 800 ML,1082,2,17000,2019-04-04
1135,CHOCOLATE CP 800 ML,1075,2,19000,2018-08-08
1136,TUB SOHAN HALWA 800 ML,1093,0,35000,2019-07-07
1137,SERC 16 MG TABLETS,1081,50,1699,2022-11-30
1138,POLYBION FORTE SYRUP,1079,2,4000,2018-09-09
1139,BENZYL PENICILLIN SODIUM 1000000,27,10,1400,2020-03-03
1140,TULIP POP-UP,9,1,7500,2022-02-04
1141,OLESTA 40 MG TABLET,37,6,2400,2019-10-30
1142,RODEXIB 300 MG TABLETS,889,1,883,2018-01-30
1143,AVIL 50 MG TABLETS,381,20,63,2019-09-09
1144,COMBINOL-D SYRUP,361,7,4945,2020-09-09
1145,CERTEZA CUFF WITH BLADDER,634,2,30000,2022-02-04
1146,DIABETES CARE CLUB PEN,823,2,20000,2022-02-04
1147,RECOO BLOOD LANCETS,689,170,100,2020-10-10
1148,GLYSILK2 0,714,0,15000,2020-03-03
1149,CHROMIC CATGUT 2 0,715,11,20000,2020-05-05
1150,PAD WRITING SMALL,809,37,1000,2022-02-04
1151,CANDIA CAPSUL,1014,6,13000,2019-02-02
1152,LOTRIX LOTION,1125,5,8114,2019-11-30
1153,CONAZ LOTION,1112,2,20000,2019-09-30
1154,TEMPRAMINE 120 MLSYRUP,1115,6,6000,2019-12-30
1155,SERC 8 MG TABLETS,1111,25,975,2020-11-11
1156,CO-RENITEC TABLETS,1121,27,1180,2018-10-10
1157,WILGESIC TABLETS,1114,96,324,2020-11-30
1158,NEO-SEDIL TABLETS,1100,30,550,2019-05-05
1159,DISPROL 60 ML SYRUP,1152,5,2800,2018-08-08
1160,B BRAUN 22G BURNALA,1144,3,10000,2021-01-01
1161,B BRAUN 20 G BURNALA,1150,3,10000,2018-07-07
1162,CORNETTO MINI CHOCOLATE,1183,24,3000,2019-01-01
1163,JET SPORT 50 ML,1177,58,1500,2019-02-02
1164,MOO PADDLE POP,1139,25,2000,2019-02-02
1165,MANGO STIC,1129,15,1000,2018-07-07
1166,CUP VANILLA,1173,17,2000,2019-01-01
1167,TRIPLE CHOCOLATI,1151,37,2000,2019-02-02
1168,DR.KOFF ORANGE FLAVORS TABLETS,1147,58,833,2020-04-04
1169,DISPOSABLE GLOVES DIAMOND,1145,200,100,2022-02-05
1170,AMMONIA SOLUTION 50 ML,1133,7,3000,2019-08-08
1171,ALETRIS CORDIAL SYRUP,1134,3,26000,2020-10-10
1172,VERMOX TABLETS,1142,14,433,2018-11-11
1173,NEGRAM SYRUP,1137,4,8800,2019-03-30
1174,BRUFEN TABLET GREEN,1149,390,75,2019-02-02
1175,VITA-6 TABLETS,1132,42,225,2022-02-02
1176,PRODENT MOUTH WASH 200 ML,1135,1,10024,2019-11-30
1177,ENZICLOR MOUTH WASH 200 ML,1237,0,15275,2019-12-30
1178,CLINICA MOUTH WASH 200 ML,1141,1,8592,2018-10-10
1179,NIFLAM MOUTH WASH 200 ML,1148,1,8950,2019-12-30
1180,MUCONYL EXPECTORANT SUGAR FREE SYRUP,1131,5,3189,2020-10-30
1181,O-ZOLE 20 CAPSUL,1168,14,1028,2019-03-03
1182,PEDITRAL LIQUID BANANA FLAVOUR 500 ML,1166,8,8000,2019-08-30
1183,PEDITRAL LIQUID BUBBLE GUM  FLAVOUR 500 ML,1164,6,8000,2019-08-30
1184,PEDITRAL LIQUID ORANGE FLAVOUR 500 ML,1162,7,8000,2019-09-30
1185,TELFAST 120 MG TABLETS,1169,28,3930,2020-07-07
1186,CERELAC THREE FROOT 350 G,1176,1,34000,2018-12-12
1187,COFCOL ELIXIR SYRUP,1158,8,6998,2018-12-30
1188,NS 500 ML DRIP,1175,3,3600,2020-09-30
1189,FROBEN 100 MG TABLETS,1181,33,713,2019-01-01
1190,XEFECTA 400 MG TABLETS,1193,14,5000,2019-07-07
1191,LICE-O-NIL CREAM,1157,8,6610,2019-10-10
1192,OSNATE-D TABLETS,1156,30,765,2019-09-09
1193,REFSPAN 400 MG CAPSULES,1174,5,6500,2020-09-30
1194,CITRALKA POND,1161,2,5000,2019-08-30
1195,MASS 100 PLUS CAPSUL,1170,2,50000,2020-03-03
1196,FEAST CHOCOLATE,1321,25,4500,2019-02-02
1197,SHIELD FEEDER 250 ML,1167,4,13000,2022-02-05
1198,SHIELD FEEDER 125 ML,1160,2,10000,2022-02-05
1199,SHIELD FEEDER 60 ML,1182,3,9000,2022-02-05
1200,CIPESTA 125 MG SYRUP,1172,1,9100,2019-03-03
1201,CORNETTO POPCONE,1178,17,4500,2018-04-04
1202,FOTIFLOX 400 TABELTS,1163,11,4023,2019-10-01
1203,WATER INJECTION 5ML,1185,56,500,2019-06-06
1204,SERICAL TABLETS,1192,3,2400,2018-07-07
1205,REE-CAL TABLETS,1189,18,1800,2018-06-06
1206,I-CEF DS SYRUP,1209,2,23500,2019-03-02
1207,DICLOREP 50 TABLETS,1184,22,595,2020-07-30
1208,WATER 5 DRIP 500 ML,1200,3,3800,2021-05-05
1209,FASTAID PLUS 50 MG TABLETS,1203,58,458,2021-11-30
1210,FAST LAB BLOOD GLUCOSE TEST STRIPS,1197,17,2500,2022-02-07
1211,ROOH AFZA SHARBAT 800 ML,1194,0,16000,2022-02-05
1212,BAZOORI SHARBAT 800 ML QARSHI,1199,1,18000,2020-01-01
1213,EVOCHECK GLUCOMETER,1201,1,250000,2024-11-22
1214,SHARBAT E FAULAD IRFANI ,1204,1,16000,2018-05-01
1215,VAPTOR 20 MG TABLETS,1187,20,3180,2019-10-10
1216,GRASIL 25 MG INJECTION,1191,4,2315,2019-07-07
1217,CYTOPAN 50 MG TABLETS,1196,20,1376,2019-09-09
1218,BETASALIC OINTMENT,1246,4,5750,2019-08-30
1219,CLOSEUP ICY WHITE 125 G,1190,1,11500,2020-07-07
1220,COLA BLAST,1188,40,1000,2018-08-08
1221,VANILLA STICK,1211,21,1500,2018-05-05
1222,SHIELD DELUXE PLUS FEEDER 250 ML,1205,3,14000,2022-02-05
1223,SHIELD DELUXE PLUS FEEDER 125 ML,1198,2,12000,2022-02-05
1224,SHIELD SOOTHER,1195,1,5000,2022-02-05
1225,AFCO-KUF SYRUP,1208,9,8000,2022-07-07
1226,BISLERI 60 ML SYRUP,1207,3,8482,2019-07-07
1227,TEARS NATURALE II,1210,1,16497,2019-03-03
1228,ROGHAN LOANG 8 ML QARSHI,1225,3,6000,2020-01-01
1229,THERAGRAN M TABLETS,1202,91,352,2019-04-30
1230,ACCU-CHEK ACTIVE 25,1212,25,80000,2019-04-04
1231,LATEEF SURMA,1223,6,2500,2022-04-30
1232,NEODIPAR 500 MG TABLET,1214,150,150,2020-02-02
1233,TICOVATE CREAM,1260,1,10500,2018-02-02
1234,SANDAL WHITENING BEAUTY CREAM,1233,2,23000,2020-07-07
1235,PRICKLY HEAT POWDER 275 GR,1230,14,14000,2021-11-12
1236,PRICKLY HEAT POWDER 140 GR,1215,9,9500,2021-12-11
1237,SUCRAL 100 TABLET FATHER,1218,1,10000,2019-02-02
1238,DIPROCORT CREAM,1236,1,7244,2019-12-12
1239,BETNESOL DROPS,1238,12,3389,2019-11-30
1240,TOBRADEX EYE OINTMENT,1239,1,33583,2019-08-30
1241,BAZOORI SHARBAT 800 ML HAMDARD,1231,1,24000,2020-06-06
1242,NT-TOX SYRUP,1213,3,4715,2019-11-01
1243,FERRICURE 120 ML SYRUP,1221,3,15000,2019-12-12
1244,JOHNSONS BABY SHAMPOO 100 ML,1224,2,12000,2020-02-02
1245,ISPAGHOL MARHABA 150 G,1217,1,29000,2018-03-03
1246,VOVERON SR 100 TABLETS,1098,88,600,2020-10-30
1247,GOCID 20 MG CAPSULES,1226,14,1142,2019-05-05
1248,DECALC TABLETS,1227,2,6200,2019-01-01
1249,KESTINE 10 MG TABLETS,1593,48,1490,2019-11-30
1250,TRAVOGEN CREAM,1216,2,5931,2022-10-30
1251,PASBAN 120 ML SYRUP,1219,1,8000,2020-10-30
1252,ARQ-E-BADIAN 800 ML QARSHI,1234,2,12000,2018-02-02
1253,ARQ-E-GULAB 800 ML QARSHI,1222,3,12000,2020-07-07
1254,ISPAGHOL QARSHI 25 G,1220,3,5500,2020-06-06
1255,ISPAGHOL QARSHI 50 G,1235,3,10000,2019-12-12
1256,ISPAGHOL QARSHI 95 G,1229,1,21000,2020-03-03
1257,ISPAGHOL HANGER QARSHI 4 GR,1241,31,800,2020-06-06
1258,SANDAL SHARBAT 800 ML QARSHI,1258,1,18000,2020-04-04
1259,JAM-E-SHIRIN SHARBAT 800 ML QARSHI,1249,1,17000,2021-04-04
1260,EFFORT PURE DRINKING WATER 6 LITRE ,1251,2,8000,2018-12-11
1261,DIOPLUS 5 80 MG TABLETS,1242,29,1800,2019-06-06
1262,PEDITRAL ORANGE SACHETS,1254,16,1800,2020-01-30
1263,VC-CAL ORANGE,1250,17,1220,2019-01-01
1264,HIGH-C 1000 ORANGE,1243,30,690,2019-01-01
1265,JOHNSONS BABY BLOSSOMS SOAP,1244,0,7000,2022-02-05
1266,ARQGAOZUBAN 240 ML,1240,1,6000,2019-04-01
1267,PACIFIC JACK & JILL 120 ML SYRUP,1256,5,6215,2020-11-30
1268,ACORT CREAM,1604,22,5710,2020-11-30
1269,CHUARQA 800 ML QARSHI,1247,4,12000,2019-03-03
1270,ARQGAOZUBAN 800 ML QARSHI,1261,3,12000,2018-12-12
1271,LAL SHARBAT QARSHI 120 ML,1263,3,8500,2020-01-01
1272,KING KULFA SLICE 90 ML,1248,27,3500,2018-10-10
1273,DONUT,1245,13,4500,2019-02-02
1274,CARDIOSIL PLUS 10 MG 160 MG TABLETS,1257,14,2157,2018-08-08
1275,NEEDLE 18 ,1267,6,1000,2022-02-05
1276,JARIANEEN TABLETS QARSHI,1264,3,12000,2020-02-02
1277,ARQ-E-MAQO 800 ML,1253,2,12000,2018-11-11
1278,HERBESSER 30 MG TABLETS,1309,7,403,2020-10-30
1279,JAM-E-SHIRIN SHARBAT SUGAR FREE 800 ML QARSHI,1259,0,17000,2019-07-07
1280,PRICKLY HEAT CREAM,1262,0,7500,2022-02-05
1281,ENFLOR SACHET 250,1255,0,4800,2019-02-02
1282,NEXUM 40 INJECTION,1266,1,30400,2019-04-04
1283,PEDROL SYRUP,1279,3,3075,2018-09-09
1284,Q-PALGITE SYRUP,1293,3,11500,2020-07-30
1285,Q-PLEX Z SYRUP,1288,4,11500,2020-06-30
1286,B BRAUN 18G BURNALA,1291,21,10000,2018-10-10
1287,B BRAUN 16G BURNALA,1268,1,10000,2019-05-05
1288,SYRING 0.5 ML,1292,13,1000,2022-02-05
1289,SYRINGE  1 CC,1290,14,500,2022-02-05
1290,CYPRODIOL TABLETS,1285,21,1252,2018-04-04
1291,BETNESOL TABLES ,1281,178,127,2019-04-30
1292,ZATOFEN SYRUP,1270,2,9028,2018-08-08
1293,AQUAZOLE CREAM,1271,3,7200,2019-12-10
1294,MINOGEN 100 MG TABLETS,1272,10,2800,2018-12-12
1295,TICOVATE LOTION,1273,2,20400,2018-09-09
1296,PEDITRAL REGULAR FLAVOUR,1296,6,8000,2019-08-30
1297,VEXA 500 INJECTION,1295,1,17000,2018-05-05
1298,D4U INJECTION,1283,3,10740,2018-09-09
1299,BETADERM-N CREAM,1278,11,3910,2019-09-30
1300,PRAMET FA TABLETS,1807,3,15555,2019-03-02
1301,AROMA CREAM LARGE,1275,2,27500,2020-06-06
1302,ZINACEF 250 MG TABLETS,1286,19,4608,2018-10-10
1303,INTIG-D TABLETS,1269,19,765,2019-06-06
1304,MOFEST 400 MG TABLETS,1289,11,7000,2019-09-30
1305,VIDAYLIN M SYRUP,1284,3,8335,2018-10-30
1306,LEDERPLEX SYRUP,1280,10,5274,2019-03-30
1307,HYZONATE 250 INJECTION,1276,1,14875,2020-06-06
1308,HYZONATE 100 INJECTION,1277,1,8490,2020-07-07
1309,EPITOIN SYRUP,1294,1,2550,2018-11-11
1310,GRASIL 50 MG INJECTION,1287,3,2890,2019-04-04
1311,ATIVAN 1 MG TABLETS,1297,98,500,2018-12-30
1312,ATIVAN 2 MG TABLETS,1310,98,600,2018-12-30
1313,HAJMOLA REGULAR TABLETS,1316,0,7500,2019-08-08
1314,COLGATE 150 GR TOOTHPASTE,1298,1,12000,2019-05-05
1315,SPIROMIDE 20 MG TABLETS,1314,72,459,2019-11-30
1316,WARTS REMOVER,1315,8,16000,2020-12-30
1317,CORNETTO CLASSICO MINI,1302,32,3000,2019-02-02
1318,PISTA 800 ML,1313,1,22000,2018-08-08
1319,MYTIL 125 SYRUP,1303,3,13500,2019-08-30
1320,MYTIL 250 SYRUP,1304,2,16000,2018-04-04
1321,LIPIGET 10 MG TABLETS,1299,14,1750,2020-10-30
1322,ENVEPE TABLETS,1318,15,433,2020-02-02
1323,DELTACORTRIL 5 MG TABLETS LOZ,1311,31,300,2019-03-03
1324,TRYPTANOL 25 MG TABLETS,1305,100,122,2020-06-30
1325,CIPVAL 250 MG TABLETS,1306,17,1300,2018-11-11
1326,QUVASC 5 MG TABLETS,1307,20,805,2018-06-06
1327,DOMEL 60 ML SYRUP,1317,3,4260,2020-10-30
1328,OSIRIS SYRUP,1323,6,6086,2019-07-30
1329,CARIPEPTIC SYRUP,1324,2,22995,2019-09-30
1330,CALCIUM LEMON PLUS SACHETS,1300,10,1150,2018-10-10
1331,MYONAL 50 MG TABLETS,1370,40,1453,2022-02-02
1332,VEET NORMAL SKIN 25 G CREAM,1322,2,9000,2019-11-30
1333,PAD WRITING LARGE HEPTOCAM,1308,58,5000,2021-11-25
1334,ORSLIM CAPSULES,1312,30,5000,2019-02-02
1335,DUPHALAC 240 ML SYRUP,1334,1,32200,2019-03-03
1336,REVITALE MULTI TABLETS,1350,2,17852,2019-03-02
1337,HICOBAL TABLETS,1345,20,1008,2018-07-07
1338,CURINE EYE DROPS,1341,3,8160,2019-10-01
1339,NEUCEF 125 MG SYRUP,1326,1,11500,2018-07-07
1340,ALSOVINA SYRUP,1347,2,11000,2019-05-05
1341,ROTEC 50 TABLETS,1327,16,1357,2018-11-11
1342,SERT 50 MG TABLETS,1328,10,2500,2018-04-04
1343,SUNNY D SYRUP,1340,2,15700,2018-12-12
1344,TRAMAL PLUS TABLETS,1337,20,1000,2019-12-30
1345,RIVOTRIL 2 MG TABLETS,1346,30,800,2020-02-02
1346,EMKIT TABLETS,1329,15,1530,2022-02-02
1347,HI-D3,1353,5,12650,2019-03-03
1348,CEDROX 500 MG CAPSULES,1339,10,1542,2019-12-12
1349,BETNOVATE N OINMENT 20 GR CREAM,1335,14,5500,2019-11-30
1350,NEUCEF DS SYRUP,1336,2,20000,2019-10-30
1351,POLYMALT SYRUP,1331,2,17000,2018-12-12
1352,CALAMOX DS 312 .5 MG SYRUP,1349,2,10900,2019-08-08
1353,CALAMOX 156.25 MG  SYRUP,1344,3,7000,2019-08-08
1354,ARQ-E-GULAB QARSHI 60 ML,1348,10,3000,2019-09-09
1355,ARQ-E-GULAB QARSHI 120 ML,1351,6,4000,2018-12-12
1356,SPIANO 100 MG TABLETS,1333,131,550,2019-08-08
1357,TALIDON TABLETS,1877,30,200,2020-04-04
1358,NEEDLE NO 24,1352,43,300,2020-06-06
1359,NEEDLE NOVOFINE 0.25X6,1343,3,1500,2022-02-05
1360,PEPZYM TABLETS,1330,42,883,2019-09-30
1361,ACICON 40 MG TABLETS,1325,28,2012,2020-07-30
1362,ACICON 20 MG TABLETS,1342,20,1184,2020-02-02
1363,PIOZER 15 MG TABLETS,1338,38,1321,2020-09-30
1364,PIOZER 30 MG TABLETS,1373,21,1935,2020-07-30
1365,PANZOL 40 MG TABLETS,1376,10,3375,2019-04-04
1366,SAMEROL-N TABLETS,1377,52,369,2019-02-02
1367,OMEZOL 20 MG CAPSUL,1380,28,1100,2020-10-02
